iter	Passed	Remaining
0	232	232000
1	463	231407
2	732	243396
3	978	243677
4	1242	247205
5	1462	242207
6	1675	237640
7	1894	234934
8	2222	244772
9	2504	247946
10	2797	251554
11	3112	256284
12	3381	256703
13	3572	251619
14	3787	248735
15	3977	244607
16	4204	243098
17	4400	240081
18	4629	239007
19	4917	240937
20	5157	240431
21	5365	238499
22	5585	237275
23	5789	235448
24	5992	233700
25	6170	231164
26	6382	230015
27	6572	228173
28	6781	227073
29	6978	225644
30	7175	224278
31	7366	222846
32	7564	221675
33	7744	220042
34	7926	218552
35	8114	217295
36	8384	218223
37	8666	219389
38	8935	220175
39	9145	219489
40	9346	218623
41	9554	217930
42	9772	217500
43	9992	217101
44	10177	215978
45	10365	214963
46	10551	213944
47	10734	212909
48	10921	211963
49	11116	211218
50	11301	210304
51	11492	209519
52	11701	209072
53	11916	208750
54	12131	208448
55	12320	207690
56	12521	207159
57	12716	206537
58	12916	206014
59	13113	205448
60	13316	204984
61	13510	204397
62	13706	203855
63	13892	203182
64	14082	202571
65	14272	201982
66	14464	201423
67	14681	201222
68	14880	200777
69	15080	200354
70	15300	200204
71	15538	200275
72	15765	200204
73	15965	199788
74	16167	199402
75	16358	198885
76	16566	198580
77	16763	198156
78	16965	197791
79	17164	197396
80	17370	197080
81	17567	196666
82	17772	196355
83	17961	195864
84	18164	195536
85	18364	195177
86	18594	195138
87	18836	195219
88	19076	195266
89	19279	194940
90	19494	194735
91	19706	194490
92	19918	194254
93	20121	193939
94	20329	193668
95	20528	193305
96	20734	193021
97	20933	192674
98	21136	192368
99	21336	192024
100	21547	191796
101	21744	191436
102	21952	191179
103	22193	191203
104	22421	191119
105	22627	190836
106	22837	190597
107	23042	190310
108	23243	189997
109	23455	189775
110	23666	189543
111	23878	189325
112	24083	189042
113	24302	188880
114	24503	188571
115	24710	188314
116	24916	188043
117	25127	187818
118	25436	188313
119	25667	188229
120	25914	188252
121	26113	187933
122	26320	187670
123	26516	187325
124	26724	187071
125	26931	186807
126	27135	186532
127	27351	186333
128	27557	186063
129	27775	185884
130	28001	185750
131	28215	185538
132	28420	185267
133	28634	185057
134	28839	184783
135	29068	184669
136	29277	184427
137	29494	184236
138	29705	184002
139	29928	183846
140	30137	183603
141	30343	183340
142	30541	183032
143	30758	182840
144	30977	182661
145	31194	182468
146	31410	182266
147	31635	182115
148	31844	181876
149	32082	181800
150	32303	181626
151	32529	181482
152	32758	181351
153	32972	181133
154	33179	180883
155	33398	180695
156	33611	180473
157	33820	180235
158	34033	180015
159	34266	179898
160	34475	179659
161	34700	179498
162	34921	179321
163	35171	179286
164	35388	179086
165	35616	178942
166	35840	178773
167	36074	178656
168	36342	178699
169	36664	179009
170	36871	178753
171	37092	178561
172	37309	178350
173	37569	178347
174	37790	178155
175	38014	177978
176	38232	177768
177	38453	177578
178	38713	177560
179	38928	177343
180	39153	177164
181	39372	176959
182	39614	176858
183	39870	176818
184	40095	176637
185	40320	176455
186	40546	176280
187	40759	176048
188	40981	175853
189	41193	175614
190	41417	175428
191	41628	175186
192	41854	175006
193	42079	174825
194	42304	174642
195	42520	174421
196	42767	174327
197	42995	174153
198	43241	174051
199	43469	173878
200	43693	173686
201	43910	173466
202	44136	173283
203	44370	173131
204	44665	173213
205	44874	172963
206	45086	172721
207	45303	172503
208	45517	172271
209	45733	172045
210	45941	171790
211	46170	171613
212	46399	171437
213	46661	171381
214	46896	171225
215	47116	171014
216	47334	170798
217	47547	170559
218	47769	170354
219	47981	170117
220	48195	169883
221	48410	169655
222	48623	169420
223	48854	169245
224	49064	169000
225	49286	168793
226	49498	168558
227	49716	168337
228	49936	168126
229	50172	167968
230	50384	167731
231	50616	167558
232	50837	167348
233	51068	167172
234	51278	166929
235	51498	166714
236	51726	166527
237	51951	166331
238	52179	166145
239	52409	165962
240	52620	165722
241	52844	165522
242	53058	165289
243	53276	165069
244	53510	164900
245	53741	164720
246	53960	164503
247	54172	164265
248	54385	164031
249	54598	163796
250	54822	163593
251	55042	163379
252	55283	163227
253	55511	163039
254	55735	162835
255	55950	162606
256	56170	162392
257	56390	162176
258	56605	161948
259	56878	161886
260	57132	161767
261	57357	161564
262	57573	161338
263	57806	161158
264	58023	160934
265	58246	160724
266	58465	160505
267	58731	160415
268	58972	160256
269	59184	160017
270	59419	159841
271	59633	159607
272	59864	159419
273	60087	159211
274	60347	159097
275	60573	158895
276	60787	158661
277	61008	158447
278	61226	158223
279	61449	158014
280	61656	157761
281	61866	157517
282	62092	157315
283	62319	157115
284	62527	156868
285	62826	156847
286	63030	156586
287	63257	156387
288	63470	156151
289	63713	155987
290	63961	155837
291	64200	155664
292	64424	155454
293	64635	155213
294	64850	154982
295	65076	154775
296	65289	154539
297	65527	154362
298	65760	154174
299	65970	153932
300	66193	153718
301	66415	153504
302	66628	153267
303	66851	153055
304	67084	152865
305	67328	152698
306	67568	152523
307	67801	152333
308	68022	152114
309	68238	151886
310	68460	151670
311	68675	151437
312	68900	151228
313	69119	151006
314	69349	150808
315	69567	150583
316	69794	150376
317	70010	150147
318	70227	149921
319	70453	149712
320	70690	149528
321	70920	149329
322	71214	149262
323	71430	149034
324	71660	148832
325	71890	148631
326	72135	148461
327	72383	148298
328	72609	148088
329	72816	147840
330	73029	147602
331	73240	147363
332	73456	147133
333	73672	146903
334	73892	146681
335	74125	146486
336	74372	146317
337	74592	146095
338	74802	145854
339	75024	145636
340	75235	145396
341	75472	145206
342	75721	145041
343	75949	144833
344	76177	144627
345	76409	144427
346	76628	144203
347	76850	143983
348	77072	143765
349	77288	143536
